ID,Name,Type,Raw,UvDefault,UvTop,UvBottom,UvFront,UvBack,UvLeft,UvRight,WalkSound,PutSound
1,caodi01,0,0,caodi02.png,caodi01.png,caodi03.png,,,,,walk_grass,put_sand
2,shu01,0,0,shu02.png,shu01.png,shu01.png,,,,,walk_wood,put_wood
3,shadi01,0,0,shadi02.png,shadi01.png,shadi02.png,,,,,walk_stone,put_stone
4,shuye02,0,1,shuye02.png,,,,,,,walk_grass,put_leaves
5,shuye01,0,1,shuye01.png,,,,,,,walk_grass,put_leaves
6,shitou01,0,0,shitou01.png,shitou02.png,shitou02.png,,,,,walk_stone,put_stone
7,dizhuan03,0,0,dizhuan04.png,,,,,,,walk_stone,put_stone
8,zhuan01,0,0,zhuan01.png,,,,,,,walk_stone,put_stone
9,shitou03,0,0,shitou03.png,,,,,,,walk_stone,put_stone
10,wapian01,0,0,wapian01.png,,,,,,,walk_wood,put_wood
11,muban01,0,0,muban01.png,,,,,,,walk_wood,put_wood
12,sha01,0,0,sha01.png,,,,,,,put_stone,put_stone
13,muban02,0,0,muban02.png,,,,,,,walk_wood,put_wood
14,shizhu02,0,0,shizhu04.png,shizhu03.png,shizhu03.png,,,,,walk_stone,put_stone
15,zhuan02,0,0,zhuan02.png,,,,,,,walk_stone,put_wood
16,shizhu01,0,0,shizhu02.png,shizhu03.png,shizhu03.png,,,,,walk_stone,put_stone
17,jiyan01,0,0,jiyan01.png,jiyan02.png,jiyan02.png,,,,,walk_sand,put_sand
18,shitou04,0,0,shitou04.png,,,,,,,walk_stone,put_stone
19,chuangzi01,0,7,chuangzi01.png,,,,,,,walk_stone,put_stone
20,shamo01,0,0,shamo01.png,,,,,,,walk_sand,put_sand
21,shu02,0,0,shu03.png,shu04.png,,,,,,walk_wood,put_wood
22,zhuan03,0,0,zhuan03.png,,,,,,,walk_stone,put_stone
23,zhuan05,0,0,zhuan05.png,,,,,,,walk_stone,put_stone
24,dizhuan01,0,0,dizhuan01.png,,,,,,,walk_stone,put_wood
25,zhuan06,0,0,zhuan06.png,,,,,,,walk_stone,put_stone
26,qiangmian01,0,0,qiangmian01.png,,,,,,,walk_stone,put_stone
27,qiangmian02,0,0,qiangmian02.png,,,,,,,walk_stone,put_stone
28,qiangmian03,0,0,batery.png,,,,,,,walk_stone,put_stone
29,dizhuan02,0,0,dizhuan02.png,,,,,,,walk_stone,put_stone
30,wapian02,0,0,wapian02.png,,,,,,,walk_stone,put_wood
31,shuye03,0,0,shuye03.png,,,,,,,walk_grass,put_leaves
32,wapian03,0,0,wapian03.png,,,,,,,walk_stone,put_stone
33,dizhuan03,0,0,dizhuan03.png,,,,,,,walk_grass,put_leaves
34,shuye06,0,0,shuye06.png,,,,,,,walk_grass,put_stone
35,tiekuai01,0,0,tiekuai01.png,,,,,,,walk_stone,put_stone
36,muban03,0,0,muban03.png,,,,,,,walk_wood,put_wood
37,qiangmian04,0,0,qiangmian04.png,,,,,,,walk_stone,put_stone
38,zhuan04,0,0,zhuan04.png,,,,,,,walk_stone,put_stone
39,zhuan07,0,0,zhuan07.png,,,,,,,walk_sand,put_sand
40,block1,0,0,gift01.png,,,,,,,walk_wood,put_wood
41,block2,0,0,gift02.png,,,,,,,walk_wood,put_wood
42,block3,0,0,gift03.png,,,,,,,walk_wood,put_wood
43,block4,0,3,lamp01.png,,,,,,,walk_stone,put_stone
44,block5,0,7,glasses01.png,,,,,,,walk_stone,put_stone
45,block6,0,7,glasses02.png,,,,,,,walk_stone,put_stone
46,block7,0,7,glasses03.png,,,,,,,walk_stone,put_stone
47,block8,0,7,glasses04.png,,,,,,,walk_stone,put_stone
48,block9,0,0,glasses05.png,,,,,,,walk_stone,put_stone
49,block10,0,0,clock01.png,21.png,21.png,,,,,walk_stone,put_stone
50,block11,0,0,tnt01.png,tnt02.png,tnt02.png,,,,,walk_stone,put_stone
51,block12,0,0,touying01.png,,,cage.png,,,,walk_wood,put_wood
52,block13,0,1,grass01.png,,,,,,,walk_grass,put_leaves
53,block14,0,0,grass02.png,,,,,,,walk_grass,put_leaves
54,block15,0,3,vegetation01.png,,,,,,,walk_grass,put_leaves
55,block16,0,3,vegetation02.png,,,,,,,walk_grass,put_leaves
56,block17,0,3,vegetation03.png,,,,,,,walk_grass,put_leaves
57,block18,0,0,box01.png,,,,,,,walk_stone,put_stone
58,block19,0,0,wood01.png,,,,,,,walk_wood,put_wood
59,block20,0,0,skullcap01.png,,,,,,,walk_stone,put_stone
60,block60,8,13,zhuan01.png,,,,,,,walk_stone,put_stone
62,block62,23,13,zhuan05.png,,,,,,,walk_stone,put_stone
64,block64,24,13,dizhuan01.png,,,,,,,walk_wood,put_wood
66,block66,10,13,wapian01.png,,,,,,,walk_wood,put_wood
68,block68,11,13,muban01.png,,,,,,,walk_wood,put_wood
499,block70,11,13,shizhu04.png,shizhu03.png,shizhu03.png,,,,,walk_wood,put_wood
74,block74,0,0,RedBlock.png,,,,,,,walk_stone,put_stone
79,block79,0,0,GreenBlock.png,,,,,,,walk_stone,put_stone
84,block84,0,0,YellowBlock.png,,,,,,,walk_stone,put_stone
89,block89,0,0,BlueCrap.png,,,,,,,walk_stone,put_stone
94,block94,0,0,GreenCrap.png,,,,,,,walk_stone,put_stone
95,block95,0,0,RedCrap.png,,,,,,,walk_stone,put_stone
96,block96,0,0,caomei02.png,caomei01.png,caomei02.png,,,,,walk_stone,put_stone
97,block97,0,0,dizhuan05.png,,,,,,,walk_stone,put_stone
98,sha02,0,0,sha02.png,,,,,,,walk_stone,put_stone
99,block99,0,0,39.png,,,,,,,walk_stone,put_wood
100,block100,0,6,furnace03.png,furnace03.png,furnace03.png,furnace02.png,furnace01.png,furnace01.png,furnace01.png,walk_stone,put_stone
104,dizhuan05,0,0,dizhuan06.png,,,,,,,walk_grass,put_leaves
109,dizhuan06,0,0,dizhuan07.png,,,,,,,walk_grass,put_leaves
114,block114,0,0,PinkCrap.png,,,,,,,walk_stone,put_stone
119,block119,0,0,wood_white.png,Wood02.png,Wood02.png,,,,,walk_wood,put_wood
124,block124,0,0,pillar01.png,sha01.png,sha01.png,,,,,walk_grass,put_stone
129,block129,0,0,pillar02.png,sha01.png,sha01.png,,,,,walk_grass,put_stone
134,block134,0,0,pillar03.png,sha01.png,sha01.png,,,,,walk_grass,put_stone
139,block139,0,0,shizhu01.png,shizhu03.png,shizhu03.png,,,,,walk_grass,put_stone
498,block498,0,0,shizhu06.png,shizhu03.png,shizhu03.png,,,,,walk_grass,put_stone
144,block144,0,0,gold.png,,,,,,,walk_grass,put_stone
149,block149,0,3,grass.png,,,,,,,walk_grass,put_leaves
159,block159,0,0,c.png,cf.png,cf.png,,,,,walk_grass,music_note_0
164,block164,0,0,speed.png,,,,,,,racetrack_start,put_stone
169,block169,0,0,c#.png,c#f.png,c#f.png,,,,,walk_grass,music_note_0
174,block174,0,0,music_play.png,music_play1.png,music_play1.png,,,,,walk_grass,put_stone
179,block179,0,0,music_rest.png,music_rest1.png,music_rest.png,,,,,walk_grass,put_stone
188,block188,0,0,robot_head.png,robot_head.png,robot_head.png,,,,,walk_grass,put_stone
190,xigua,0,0,xigua02.png,xigua01.png,xigua01.png,,,,,walk_grass,put_stone
191,caomei,0,0,caomei02.png,caomei01.png,caomei03.png,,,,,walk_grass,put_stone
192,nangua,0,0,nangua02.png,nangua01.png,,,,,,walk_grass,put_stone
193,shuye04,0,0,shuye04.png,,,,,,,walk_grass,put_leaves
194,shuye05,0,0,shuye05.png,,,,,,,walk_grass,put_leaves
195,block195,0,0,1.png,,,,,,,walk_wood,put_wood
196,block196,0,0,2.png,,,,,,,walk_wood,put_wood
197,block197,0,0,3.png,,,,,,,walk_wood,put_wood
198,block198,0,0,4.png,,,,,,,walk_wood,put_wood
199,block199,0,0,5.png,,,,,,,walk_sand,put_sand
205,block205,0,0,11.png,,,,,,,walk_stone,put_stone
206,block206,0,0,12.png,,,,,,,walk_stone,put_stone
207,block208,0,0,energy.png,qiangmian03.png,energy1.png,,,,,walk_stone,put_stone
208,block207,0,0,energy1.png,,,,,,,walk_stone,put_stone
209,block209,0,0,16.png,,,,,,,walk_stone,put_stone
215,block215,0,0,28.png,,,,,,,walk_stone,put_stone
216,block216,0,0,29.png,,,,,,,walk_wood,put_wood
217,block217,0,0,30.png,,,,,,,walk_sand,put_sand
218,block218,0,0,31.png,32.png,32.png,,,,,walk_stone,put_stone
219,block219,0,0,35.png,,,,,,,walk_stone,put_stone
220,block220,0,0,36.png,,,,,,,walking_ice,put_stone
221,block221,0,0,37.png,,,,,,,walk_stone,put_stone
222,block222,0,0,38.png,,,,,,,walk_wood,put_wood
223,block223,0,0,wood_plank.png,,,,,,,walk_wood,put_wood
224,block224,0,0,41.png,,,,,,,walk_wood,put_wood
225,block225,0,1,43.png,,,,,,,walk_stone,put_stone
226,block226,0,1,44.png,,,,,,,walk_stone,put_stone
227,block227,0,1,45.png,,,,,,,walk_stone,put_stone
