FileName,BuildingName,BuildingType,Level,StartNum,NumEachLevel,CostGold,CostGem,GainExp,GainGold,GainGem,BuildCost,BuyPrice
shuijing.vox,Well,City,1,2,0,0,0,5,10,0,Gold,2
chejian.vox,WorkShop,City,1,2,1,0,0,90,180,0,Gold,4
xiaowu.vox,SmallHouse,City,1,2,1,0,0,180,360,0,Gold,6
nongchang.vox,Farm,City,2,2,1,400,0,550,0,0,Gold,4
mofang.vox,Mill,City,2,2,1,900,0,850,0,0,Gold,10
fanchuan.vox,SailingBoat,Other,2,2,1,0,0,200,400,0,Gold,8
majiu.vox,Stable,City,3,2,1,0,0,260,520,0,Gold,8
dengta.vox,Beacon,Other,3,2,1,0,0,480,960,0,Gold,16
huayuantingzi.vox,FlowerGarden,Amusement,4,2,1,0,0,550,1100,0,Gold,18
aifeierxieta.vox,EiffelTower,Famous,4,0,0,0,0,0,0,0,Gem,20
siyuan.vox,OldTemple,City,4,1,0,0,0,600,0,0,Gold,20
shengdanshu.vox,ChristmasTree,Other,5,1,0,0,0,285,570,0,Gold,10
jitan.vox,Maya,Famous,5,1,1,1600,0,2405,0,0,Gold,16
yantongfang.vox,FolkHouse,City,5,1,1,0,0,1200,0,0,Gold,30
shenmiao.vox,Temple,City,5,0,0,0,0,0,0,0,Gem,30
mutoufangzi.vox,WoodHouse,City,6,2,0,1700,0,2615,0,0,Gold,18
baigong.vox,WhiteHouse,Famous,6,0,0,0,0,0,0,0,Gem,30
huayuan.vox,RoyalGarden,Amusement,6,0,0,0,0,0,0,0,Gem,40
juchang.vox,Theatre,Amusement,7,2,1,1300,0,1780,0,0,Gold,14
liangting.vox,Pavilion,City,7,2,1,0,0,625,1250,0,Gold,22
jiwo.vox,ChickenCoop,City,8,2,1,0,0,645,1290,0,Gold,24
xiaojiaotang.vox,Church,City,8,0,0,0,0,0,0,0,Gem,40
house.vox,GardenHouse,City,9,2,1,2400,0,3980,0,0,Gold,24
ercengxiaolou.vox,HolidayHouse,City,9,0,0,0,0,0,0,0,Gem,40
lvguan.vox,Hotel,City,9,0,0,0,0,0,0,0,Gem,40
yangshixiaowu.vox,Mansion,City,9,0,0,0,0,0,0,0,Gem,50
nanguafang.vox,PumpkinHouse,Other,10,2,0,2400,0,3120,0,0,Gold,24
jishi.vox,Fair,Amusement,10,2,1,0,0,915,1830,0,Gold,34
shuwu.vox,TreeHouse,City,11,0,0,0,0,0,0,0,Gem,60
shixiang.vox,EasterIslandStatues,Other,11,0,0,0,0,0,0,0,Gem,60
motianlun.vox,FerrisWheel,Amusement,12,1,0,2700,0,3800,0,0,Gold,28
jinshajiudian.vox,MarinaBaySands,City,12,0,0,0,0,0,0,0,Gem,70
shenshe.vox,InariSheine,Famous,13,0,0,0,0,0,0,0,Gem,80
shishenrenmianxiang.vox,Sphinx,Famous,14,2,1,2800,0,3420,0,0,Gold,28
chengbao.vox,Castle,Famous,14,0,0,0,0,0,0,0,Gem,80
dabenzhong.vox,BigBen,Famous,14,0,0,0,0,0,0,0,Gem,90
modengfangzi.vox,ModernHouse,City,14,0,0,0,0,0,0,0,Gem,110
bisaxieta.vox,LeaningTower,Famous,15,0,0,0,0,0,0,0,Gem,120
gucheng.vox,AncientCity,Famous,15,0,0,0,0,0,0,0,Gem,130
kaixuanmen.vox,ArchofTriumph,Famous,15,0,0,0,0,0,0,0,Gem,160
tree.vox,Tree,Guide,1,1,0,0,0,5,10,0,Gold,2
