ID,Name,Level,Tấn công,Phòng thủ ,,,Tiến trình Enemy đủ để người chơi lên đươc LV5,,
E_01,ABC_1,0,9,36,,,,,
E_02,ABC_2,1,22,88,,,,,
E_03,ABC_3,2,24,96,,,,,
E_04,ABC_4,3,26,104,,,,,
E_05,ABC_5,4,30,120,,,,,
E_06,ABC_6,5,40,160,,,,,
E_07,ABC_7,6,41,164,,,,,
E_08,ABC_8,7,45,180,,,,,
E_09,ABC_9,8,42,168,,,,,
E_10,ABC_10,9,46,184,,,,,
E_11,ABC_11,10,48,192,,,,,
E_12,ABC_12,11,49,196,,,,,
E_13,ABC_13,12,60,240,,,,,
E_14,ABC_14,13,62,248,,,,,
E_15,ABC_15,14,65,260,,,,,
E_16,ABC_16,15,68,272,,,,, 
E_17,ABC_17,16,70,280,,,,,
E_18,ABC_18,17,73,292,,,,,
E_19,ABC_19,18,75,300,,,,,
E_20,ABC_20,19,77,308,,,,,
E_21,ABC_21,20,80,320,,,,,
